Ship Update,Lerper Ship Update,Orbit update,Ship Draw,Lerper Ship Draw,Orbit Draw
1.58768e-005,2.33483e-006,0,0.0018716,0.000243756,3.03528e-005
1.77447e-005,2.33483e-006,0,0.00197947,0.000271307,3.36215e-005
1.82117e-005,2.33483e-006,0,0.00213263,0.00029092,4.52957e-005
1.3075e-005,2.33483e-006,0,0.00189074,0.000259633,3.08197e-005
1.58768e-005,2.33483e-006,0,0.00188374,0.000248426,3.08197e-005
1.54099e-005,2.33483e-006,0,0.00188934,0.000247959,3.08197e-005
1.91456e-005,2.33483e-006,4.66966e-007,0.00198367,0.00028158,3.26876e-005
1.54099e-005,2.33483e-006,0,0.0019267,0.000242355,2.98858e-005
1.44759e-005,2.33483e-006,0,0.00194725,0.000263836,3.26876e-005
1.3542e-005,2.33483e-006,0,0.00187253,0.000252161,2.98858e-005
1.44759e-005,2.33483e-006,0,0.00185339,0.000248893,3.03528e-005
1.54099e-005,1.86786e-006,0,0.00180109,0.000241421,2.98858e-005
1.63438e-005,2.33483e-006,4.66966e-007,0.00205138,0.000268972,3.31546e-005
1.63438e-005,2.33483e-006,4.66966e-007,0.00181743,0.000241421,2.98858e-005
1.54099e-005,2.33483e-006,4.66966e-007,0.00179642,0.000250761,2.94188e-005
1.63438e-005,2.80179e-006,4.66966e-007,0.00204438,0.00026617,3.40885e-005
1.49429e-005,2.33483e-006,9.33931e-007,0.00202336,0.000268972,3.31546e-005
1.44759e-005,2.33483e-006,0,0.00199534,0.00026617,3.26876e-005
1.49429e-005,2.33483e-006,4.66966e-007,0.00190429,0.000263369,3.26876e-005
1.58768e-005,2.80179e-006,0,0.00186459,0.000241888,2.94188e-005
1.58768e-005,2.33483e-006,0,0.00185479,0.000301193,3.87582e-005
1.3542e-005,2.33483e-006,0,0.00191783,0.000252161,3.08197e-005
1.49429e-005,2.80179e-006,4.66966e-007,0.00198414,0.00030166,4.20269e-005
1.58768e-005,2.33483e-006,4.66966e-007,0.00195565,0.000248893,3.03528e-005
1.49429e-005,2.33483e-006,4.66966e-007,0.0018674,0.000242822,2.94188e-005
1.4009e-005,2.33483e-006,4.66966e-007,0.00183798,0.000240954,2.98858e-005
1.54099e-005,2.33483e-006,4.66966e-007,0.00200702,0.000268038,3.22206e-005
1.58768e-005,2.33483e-006,0,0.0019818,0.000265237,3.22206e-005
1.49429e-005,2.33483e-006,0,0.00181603,0.000241421,2.94188e-005
1.44759e-005,2.33483e-006,0,0.00185852,0.000247025,3.03528e-005
1.72777e-005,2.80179e-006,0,0.0019211,0.000248893,3.03528e-005
1.63438e-005,2.33483e-006,0,0.00193277,0.000249827,3.08197e-005
1.44759e-005,2.33483e-006,0,0.00198134,0.000266637,3.22206e-005
1.44759e-005,2.33483e-006,0,0.00193184,0.000250761,3.03528e-005
1.63438e-005,2.33483e-006,0,0.00183377,0.000241888,2.94188e-005
1.54099e-005,2.33483e-006,4.66966e-007,0.00179221,0.000240954,3.82912e-005
1.58768e-005,2.33483e-006,0,0.00192577,0.000242355,2.94188e-005
1.54099e-005,2.33483e-006,4.66966e-007,0.00199254,0.000266637,3.22206e-005
1.49429e-005,2.33483e-006,0,0.00180856,0.000241421,2.94188e-005
1.49429e-005,2.33483e-006,4.66966e-007,0.00183658,0.000241888,2.94188e-005
1.49429e-005,2.33483e-006,4.66966e-007,0.00193184,0.00024936,3.03528e-005
1.58768e-005,2.33483e-006,0,0.0018814,0.000249827,3.03528e-005
1.68108e-005,2.80179e-006,0,0.0020313,0.000273642,3.40885e-005
6.35073e-005,2.80179e-006,4.66966e-007,0.00198647,0.000265237,3.17537e-005
1.58768e-005,2.33483e-006,0,0.00186693,0.00024936,2.98858e-005
1.68108e-005,2.33483e-006,0,0.00183237,0.000249827,3.03528e-005
1.54099e-005,2.33483e-006,0,0.00188281,0.000308664,3.22206e-005
1.54099e-005,2.33483e-006,4.66966e-007,0.00194258,0.000259633,2.98858e-005
